instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,range,range_temp
1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,0-5,0-0.34
2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,0-5,0-0.34
3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,0-5,0-0.34
4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,0-5,0-0.34
5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,0-5,0-0.34
6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,0-5,0-0.34
7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,6-11,0-0.34
8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,6-11,0-0.34
9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,6-11,0-0.34
10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,6-11,0-0.34
11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,6-11,0.34-0.50
12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,6-11,0.34-0.50
13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,12-17,0.34-0.50
14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,12-17,0.34-0.50
15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,12-17,0.34-0.50
16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,12-17,0.34-0.50
17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,12-17,0.34-0.50
18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,12-17,0.34-0.50
19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,18-23,0.34-0.50
20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,18-23,0.34-0.50
21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,18-23,0.34-0.50
22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,18-23,0.34-0.50
23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,18-23,0.34-0.50
24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,18-23,0.34-0.50
25,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,0-5,0.34-0.50
26,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,0-5,0.34-0.50
27,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,0-5,0.34-0.50
28,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,0-5,0.34-0.50
29,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,0-5,0.34-0.50
30,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,6-11,0.34-0.50
31,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,6-11,0.34-0.50
32,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,6-11,0.34-0.50
33,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,6-11,0.34-0.50
34,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,6-11,0.34-0.50
35,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,6-11,0.34-0.50
36,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,12-17,0.34-0.50
37,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,12-17,0.34-0.50
38,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,12-17,0.34-0.50
39,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,12-17,0.34-0.50
40,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,12-17,0.34-0.50
41,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,12-17,0.34-0.50
42,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,18-23,0.34-0.50
44,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,18-23,0-0.34
45,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,18-23,0-0.34
46,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,18-23,0-0.34
47,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,18-23,0-0.34
48,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,0-5,0-0.34
51,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,0-5,0-0.34
53,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,6-11,0-0.34
54,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,6-11,0-0.34
56,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,6-11,0-0.34
57,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,6-11,0-0.34
58,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,12-17,0-0.34
59,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,12-17,0-0.34
60,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,12-17,0-0.34
61,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,12-17,0-0.34
62,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,12-17,0-0.34
63,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,12-17,0-0.34
64,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,18-23,0-0.34
65,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,18-23,0-0.34
66,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,18-23,0-0.34
67,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,18-23,0-0.34
68,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,18-23,0-0.34
69,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,18-23,0-0.34
70,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,0-5,0-0.34
71,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,0-5,0-0.34
72,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,0-5,0-0.34
73,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,0-5,0-0.34
74,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,0-5,0-0.34
75,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,6-11,0-0.34
76,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,6-11,0-0.34
77,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,6-11,0-0.34
78,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,6-11,0-0.34
79,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,6-11,0-0.34
80,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,6-11,0-0.34
81,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,12-17,0-0.34
82,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,12-17,0-0.34
83,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,12-17,0-0.34
84,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,12-17,0-0.34
85,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,12-17,0-0.34
86,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,12-17,0-0.34
87,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,18-23,0-0.34
88,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,18-23,0-0.34
89,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,18-23,0-0.34
90,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,18-23,0-0.34
91,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,18-23,0-0.34
92,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,18-23,0-0.34
93,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,0-5,0-0.34
94,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,0-5,0-0.34
95,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,0-5,0-0.34
96,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,0-5,0-0.34
97,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,0-5,0-0.34
98,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,6-11,0-0.34
99,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,6-11,0-0.34
100,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,6-11,0-0.34
101,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,6-11,0-0.34
102,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,6-11,0-0.34
103,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,6-11,0-0.34
104,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,12-17,0-0.34
105,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,12-17,0-0.34
106,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,12-17,0-0.34
107,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,12-17,0-0.34
108,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,12-17,0-0.34
109,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,12-17,0-0.34
110,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,18-23,0-0.34
111,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,18-23,0-0.34
112,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,18-23,0-0.34
113,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,18-23,0-0.34
114,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,18-23,0-0.34
115,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,18-23,0-0.34
116,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,0-5,0-0.34
117,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,0-5,0-0.34
118,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,0-5,0-0.34
119,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,0-5,0-0.34
120,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,0-5,0-0.34
121,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,6-11,0-0.34
122,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,6-11,0-0.34
123,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,6-11,0-0.34
124,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,6-11,0-0.34
125,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,6-11,0-0.34
126,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,6-11,0-0.34
127,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,12-17,0-0.34
128,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,12-17,0-0.34
129,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,12-17,0-0.34
130,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,12-17,0-0.34
131,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,12-17,0-0.34
132,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,12-17,0-0.34
133,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,18-23,0-0.34
134,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,18-23,0-0.34
135,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,18-23,0-0.34
136,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,18-23,0-0.34
137,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,18-23,0-0.34
138,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,18-23,0-0.34
139,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,0-5,0-0.34
140,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,0-5,0-0.34
141,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,0-5,0-0.34
142,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,0-5,0-0.34
143,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,0-5,0-0.34
144,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,6-11,0-0.34
145,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,6-11,0-0.34
146,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,6-11,0-0.34
147,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,6-11,0-0.34
148,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,6-11,0-0.34
149,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,6-11,0-0.34
150,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,12-17,0-0.34
151,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,12-17,0-0.34
152,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,12-17,0-0.34
153,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,12-17,0-0.34
154,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,12-17,0-0.34
155,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,12-17,0-0.34
156,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,18-23,0-0.34
157,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,18-23,0-0.34
158,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,18-23,0-0.34
159,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,18-23,0-0.34
160,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,18-23,0-0.34
161,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,18-23,0-0.34
162,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,0-5,0-0.34
163,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,0-5,0-0.34
164,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,0-5,0-0.34
165,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,0-5,0-0.34
166,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,0-5,0-0.34
167,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,0-5,0-0.34
168,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,6-11,0-0.34
169,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,6-11,0-0.34
170,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,6-11,0-0.34
171,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,6-11,0-0.34
172,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,6-11,0-0.34
174,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,12-17,0-0.34
175,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,12-17,0-0.34
180,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,18-23,0-0.34
181,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,18-23,0-0.34
182,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,18-23,0-0.34
183,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,18-23,0-0.34
190,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,0-5,0-0.34
191,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,0-5,0-0.34
192,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,6-11,0-0.34
193,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,6-11,0-0.34
194,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,6-11,0-0.34
201,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,12-17,0-0.34
204,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,18-23,0-0.34
205,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,18-23,0-0.34
206,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,18-23,0-0.34
208,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,18-23,0-0.34
209,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,18-23,0-0.34
210,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,0-5,0-0.34
211,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,0-5,0-0.34
212,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,0-5,0-0.34
